股票代码,股票名称,交易所,板块,上市时间,最新价
300376,ST易事特,深圳交易所,创业板,20140127,3.47
000999,华润三九,深圳交易所,主板,20000309,42.8
603013,亚普股份,上海交易所,主板,20180509,18.51
002631,德尔未来,深圳交易所,主板,20111111,4.63
002214,*ST大立,深圳交易所,主板,20080218,9.26
300379,*ST东通,深圳交易所,创业板,20140128,5.79
000498,山东路桥,深圳交易所,主板,19970609,5.8
600061,国投资本,上海交易所,主板,19970519,6.97
001335,信凯科技,深圳交易所,主板,20250415,37.19
000823,超声电子,深圳交易所,主板,19971008,10.46
300421,力星股份,深圳交易所,创业板,20150217,15.12
000936,华西股份,深圳交易所,主板,19990810,6.98
002595,豪迈科技,深圳交易所,主板,20110628,61.71
600862,中航高科,上海交易所,主板,19940520,23.29
600962,国投中鲁,上海交易所,主板,20040622,15.14
600698,湖南天雁,上海交易所,主板,19931206,6.99
600467,好当家,上海交易所,主板,20040405,2.33
603508,思维列控,上海交易所,主板,20151224,26.83
600516,方大炭素,上海交易所,主板,20020830,4.67
002824,和胜股份,深圳交易所,主板,20170112,15.18
301518,长华化学,深圳交易所,创业板,20230803,23.36
600531,豫光金铅,上海交易所,主板,20020730,7.02
600301,华锡有色,上海交易所,主板,20000712,18.72
688287,*ST观典,上海交易所,科创板,20220525,4.69
601188,龙江交通,上海交易所,主板,20100319,3.52
000972,*ST中基,深圳交易所,主板,20000926,3.52
300981,中红医疗,深圳交易所,创业板,20210427,12.91
603278,大业股份,上海交易所,主板,20171113,9.39
603730,岱美股份,上海交易所,主板,20170728,8.22
601100,恒立液压,上海交易所,主板,20111028,68.13
002812,恩捷股份,深圳交易所,主板,20160914,28.2
002458,益生股份,深圳交易所,主板,20100810,8.23
600373,中文传媒,上海交易所,主板,20020304,10.59
000166,申万宏源,深圳交易所,主板,20150126,4.71
605090,九丰能源,上海交易所,主板,20210525,27.11
601366,利群股份,上海交易所,主板,20170412,4.72
002656,*ST摩登,深圳交易所,主板,20120228,2.36
000670,盈方微,深圳交易所,主板,19961217,7.08
300437,清水源,深圳交易所,创业板,20150423,8.27
000697,ST炼石,深圳交易所,主板,19970325,7.09
603995,甬金股份,上海交易所,主板,20191224,16.55
600523,贵航股份,上海交易所,主板,20011227,14.19
600333,长春燃气,上海交易所,主板,20001211,4.73
000036,华联控股,深圳交易所,主板,19940617,3.55
603937,丽岛新材,上海交易所,主板,20171102,9.47
300586,美联新材,深圳交易所,创业板,20170104,9.47
920082,方正阀门,北京交易所,北交所,20241226,20.13
688538,和辉光电-U,上海交易所,科创板,20210528,2.37
000069,华侨城Ａ,深圳交易所,主板,19970910,2.37
600853,龙建股份,上海交易所,主板,19940404,3.56
000090,天健集团,深圳交易所,主板,19990721,3.56
001218,丽臣实业,深圳交易所,主板,20211015,17.83
000933,神火股份,深圳交易所,主板,19990831,16.65
688682,霍莱沃,上海交易所,科创板,20210420,38.08
688597,煜邦电力,上海交易所,科创板,20210617,10.71
600493,凤竹纺织,上海交易所,主板,20040421,5.95
600170,上海建工,上海交易所,主板,19980623,2.38
605166,聚合顺,上海交易所,主板,20200618,11.91
301318,维海德,深圳交易所,创业板,20220810,32.16
603162,海通发展,上海交易所,主板,20230329,8.36
301217,铜冠铜箔,深圳交易所,创业板,20220127,10.75
603766,隆鑫通用,上海交易所,主板,20120810,13.16
600716,凤凰股份,上海交易所,主板,19960702,3.59
832225,利通科技,北京交易所,北交所,20210225,21.56
600668,尖峰集团,上海交易所,主板,19930728,14.38
000978,桂林旅游,深圳交易所,主板,20000518,6.0
688420,美腾科技,上海交易所,科创板,20221209,22.81
000819,岳阳兴长,深圳交易所,主板,19970625,14.41
002042,华孚时尚,深圳交易所,主板,20050427,4.81
000605,渤海股份,深圳交易所,主板,19960913,7.22
600673,东阳光,上海交易所,主板,19930917,9.64
600131,国网信通,上海交易所,主板,19980402,18.1
601066,中信建投,上海交易所,主板,20180620,23.05
000989,九芝堂,深圳交易所,主板,20000628,8.52
601595,上海电影,上海交易所,主板,20160817,30.43
300842,帝科股份,深圳交易所,创业板,20200618,40.18
300530,领湃科技,深圳交易所,创业板,20160809,34.2
688779,五矿新能,上海交易所,科创板,20210811,4.89
600517,国网英大,上海交易所,主板,20031010,4.89
688511,*ST天微,上海交易所,科创板,20210730,17.17
000686,东北证券,深圳交易所,主板,19970227,7.36
600409,三友化工,上海交易所,主板,20030618,4.91
601877,正泰电器,上海交易所,主板,20100121,22.1
300896,爱美客,深圳交易所,创业板,20200928,172.0
002271,东方雨虹,深圳交易所,主板,20080910,11.06
600135,乐凯胶片,上海交易所,主板,19980122,7.38
301016,雷尔伟,深圳交易所,创业板,20210630,17.23
688056,莱伯泰科,上海交易所,科创板,20200902,32.02
001283,豪鹏科技,深圳交易所,主板,20220905,52.99
600526,菲达环保,上海交易所,主板,20020722,4.93
605189,富春染织,上海交易所,主板,20210528,13.56
605116,奥锐特,上海交易所,主板,20200921,20.96
688146,中船特气,上海交易所,科创板,20230421,28.36
000796,凯撒旅业,深圳交易所,主板,19970703,3.7
603527,众源新材,上海交易所,主板,20170907,9.87
000762,西藏矿业,深圳交易所,主板,19970708,18.53
002012,凯恩股份,深圳交易所,主板,20040705,4.95
002880,卫光生物,深圳交易所,主板,20170616,28.51
002798,帝欧家居,深圳交易所,主板,20160525,4.96
605007,XD五洲特,上海交易所,主板,20201110,11.18
002820,桂发祥,深圳交易所,主板,20161118,11.19
603125,常青科技,上海交易所,主板,20230410,14.94
300716,ST泉为,深圳交易所,创业板,20171109,7.47
600448,华纺股份,上海交易所,主板,20010903,3.74
601002,晋亿实业,上海交易所,主板,20070126,4.99
601598,中国外运,上海交易所,主板,20190118,5.0
603035,常熟汽饰,上海交易所,主板,20170105,13.76
001269,欧晶科技,深圳交易所,主板,20220930,23.77
002223,鱼跃医疗,深圳交易所,主板,20080418,37.55
603520,司太立,上海交易所,主板,20160309,10.02
002865,钧达股份,深圳交易所,主板,20170425,38.94
600241,时代万恒,上海交易所,主板,20001128,7.54
601136,首创证券,上海交易所,主板,20221222,18.86
688027,国盾量子,上海交易所,科创板,20200709,251.96
301092,争光股份,深圳交易所,创业板,20211102,30.24
002909,集泰股份,深圳交易所,主板,20171026,6.3
001356,富岭股份,深圳交易所,主板,20250123,15.13
300442,润泽科技,深圳交易所,创业板,20150424,44.14
688330,宏力达,上海交易所,科创板,20201015,25.23
000683,博源化工,深圳交易所,主板,19970131,5.05
600703,三安光电,上海交易所,主板,19960528,12.63
600782,新钢股份,上海交易所,主板,19961225,3.79
600508,上海能源,上海交易所,主板,20010829,11.37
688429,时创能源,上海交易所,科创板,20230629,13.91
001306,夏厦精密,深圳交易所,主板,20231116,75.89
688363,华熙生物,上海交易所,科创板,20191106,50.6
000913,钱江摩托,深圳交易所,主板,19990514,15.18
000753,漳州发展,深圳交易所,主板,19970626,5.06
600803,新奥股份,上海交易所,主板,19940103,18.98
600121,郑州煤电,上海交易所,主板,19980107,3.8
688596,正帆科技,上海交易所,科创板,20200820,35.47
600351,亚宝药业,上海交易所,主板,20020926,6.34
000791,甘肃能源,深圳交易所,主板,19971014,6.35
300847,中船汉光,深圳交易所,创业板,20200709,16.55
002314,南山控股,深圳交易所,主板,20091203,2.55
600381,*ST春天,上海交易所,主板,20010508,3.83
000967,盈峰环境,深圳交易所,主板,20000330,7.66
601339,百隆东方,上海交易所,主板,20120612,5.11
600713,南京医药,上海交易所,主板,19960701,5.11
601005,重庆钢铁,上海交易所,主板,20070228,1.28
300032,金龙机电,深圳交易所,创业板,20091225,5.13
000737,北方铜业,深圳交易所,主板,19970428,8.98
603080,XD新疆火,上海交易所,主板,20180103,16.68
301279,金道科技,深圳交易所,创业板,20220413,19.25
000725,京东方Ａ,深圳交易所,主板,20010112,3.85
600685,中船防务,上海交易所,主板,19931028,24.42
688310,迈得医疗,上海交易所,科创板,20191203,14.14
000833,粤桂股份,深圳交易所,主板,19981111,11.58
301008,宏昌科技,深圳交易所,创业板,20210611,24.45
301025,读客文化,深圳交易所,创业板,20210719,10.35
301309,万得凯,深圳交易所,创业板,20220919,25.88
301557,常友科技,深圳交易所,创业板,20250304,72.51
600497,驰宏锌锗,上海交易所,主板,20040420,5.18
603353,和顺石油,上海交易所,主板,20200407,15.56
603276,恒兴新材,上海交易所,主板,20230925,15.59
301128,强瑞技术,深圳交易所,创业板,20211110,46.77
600371,万向德农,上海交易所,主板,20020916,9.1
002943,宇晶股份,深圳交易所,主板,20181129,26.0
600056,中国医药,上海交易所,主板,19970515,10.41
600503,华丽家族,上海交易所,主板,20020709,2.61
000039,中集集团,深圳交易所,主板,19940408,7.83
603136,天目湖,上海交易所,主板,20170927,11.78
603113,金能科技,上海交易所,主板,20170511,6.55
600252,中恒集团,上海交易所,主板,20001130,2.62
000031,大悦城,深圳交易所,主板,19931008,2.62
601127,赛力斯,上海交易所,主板,20160615,135.08
300527,中船应急,深圳交易所,创业板,20160805,7.87
603111,康尼机电,上海交易所,主板,20140801,6.56
301560,众捷汽车,深圳交易所,创业板,20250425,36.8
002745,木林森,深圳交易所,主板,20150217,7.89
002044,美年健康,深圳交易所,主板,20050518,5.26
000793,ST华闻,深圳交易所,主板,19970729,2.63
002979,雷赛智能,深圳交易所,主板,20200408,46.06
002054,德美化工,深圳交易所,主板,20060725,6.58
605198,安德利,上海交易所,主板,20200918,57.99
002246,北化股份,深圳交易所,主板,20080605,11.87
600022,山东钢铁,上海交易所,主板,20040629,1.32
601555,东吴证券,上海交易所,主板,20111212,7.95
000628,高新发展,深圳交易所,主板,19961118,45.05
600133,东湖高新,上海交易所,主板,19980212,9.3
003004,*ST声迅,深圳交易所,主板,20201126,19.94
832023,田野股份,北京交易所,北交所,20230202,5.32
603878,武进不锈,上海交易所,主板,20161219,5.32
300876,蒙泰高新,深圳交易所,创业板,20200824,22.69
002554,惠博普,深圳交易所,主板,20110225,2.67
001206,依依股份,深圳交易所,主板,20210518,21.4
002209,达 意 隆,深圳交易所,主板,20080130,12.05
600023,浙能电力,上海交易所,主板,20131219,5.36
300466,赛摩智能,深圳交易所,创业板,20150528,10.74
600506,统一股份,上海交易所,主板,20011226,18.8
688767,博拓生物,上海交易所,科创板,20210908,44.44
688063,派能科技,上海交易所,科创板,20201230,43.12
603097,江苏华辰,上海交易所,主板,20220512,22.94
601789,宁波建工,上海交易所,主板,20110816,5.4
601113,华鼎股份,上海交易所,主板,20110509,4.05
600221,海航控股,上海交易所,主板,19991125,1.35
600157,永泰能源,上海交易所,主板,19980513,1.35
605050,福然德,上海交易所,主板,20200924,13.54
600085,同仁堂,上海交易所,主板,19970625,38.01
002034,旺能环境,深圳交易所,主板,20040826,17.66
603289,泰瑞机器,上海交易所,主板,20171031,9.51
002598,山东章鼓,深圳交易所,主板,20110707,10.87
688499,利元亨,上海交易所,科创板,20210701,28.56
603429,集友股份,上海交易所,主板,20170124,8.18
000850,华茂股份,深圳交易所,主板,19981007,4.09
688737,中自科技,上海交易所,科创板,20211022,20.46
600710,苏美达,上海交易所,主板,19960701,9.55
601975,招商南油,上海交易所,主板,20190108,2.73
600711,ST盛屯,上海交易所,主板,19960531,5.46
002753,永东股份,深圳交易所,主板,20150519,6.83
002541,鸿路钢构,深圳交易所,主板,20110118,19.14
002752,昇兴股份,深圳交易所,主板,20150422,5.47
000045,深纺织Ａ,深圳交易所,主板,19940815,10.96
300610,晨化股份,深圳交易所,创业板,20170213,10.98
600985,淮北矿业,上海交易所,主板,20040428,12.37
600397,安源煤业,上海交易所,主板,20020702,5.52
002086,东方海洋,深圳交易所,主板,20061128,2.76
000403,派林生物,深圳交易所,主板,19960628,22.11
002641,公元股份,深圳交易所,主板,20111208,4.15
002120,韵达股份,深圳交易所,主板,20070306,6.94
002234,民和股份,深圳交易所,主板,20080516,8.33
000544,中原环保,深圳交易所,主板,19931208,8.34
600359,新农开发,上海交易所,主板,19990429,6.96
003037,三和管桩,深圳交易所,主板,20210204,6.96
300189,神农种业,深圳交易所,创业板,20110316,4.18
300012,华测检测,深圳交易所,创业板,20091030,11.15
601390,中国中铁,上海交易所,主板,20071203,5.59
301486,致尚科技,深圳交易所,创业板,20230707,59.04
600307,酒钢宏兴,上海交易所,主板,20001220,1.41
001391,国货航,深圳交易所,主板,20241230,7.05
603833,欧派家居,上海交易所,主板,20170328,62.1
600338,西藏珠峰,上海交易所,主板,20001227,9.88
601827,三峰环境,上海交易所,主板,20200605,8.47
601096,宏盛华源,上海交易所,主板,20231222,4.25
600438,通威股份,上海交易所,主板,20040302,17.0
301235,华康洁净,深圳交易所,创业板,20220128,24.1
603357,设计总院,上海交易所,主板,20170801,8.51
301135,瑞德智能,深圳交易所,创业板,20220412,26.95
601000,唐山港,上海交易所,主板,20100705,4.26
600537,亿晶光电,上海交易所,主板,20030123,2.84
002742,*ST三圣,深圳交易所,主板,20150217,4.26
000008,神州高铁,深圳交易所,主板,19920507,2.84
300613,富瀚微,深圳交易所,创业板,20170220,48.33
002078,太阳纸业,深圳交易所,主板,20061116,14.22
601858,中国科传,上海交易所,主板,20170118,19.91
603567,珍宝岛,上海交易所,主板,20150424,11.39
002033,丽江股份,深圳交易所,主板,20040825,8.55
