股票代码,股票名称,交易所,板块,上市时间,最新价,东财行业,证监会行业,行业为空,上市年份,上市月份,上市日期,一级行业,二级行业
'688119,中钢洛耐,上海交易所,科创板,20220606,3.97,建材-耐火材料-耐火材料,制造业-非金属矿物制品业,False,2022,6,6,建材,耐火材料
'601177,杭齿前进,上海交易所,主板,20101011,17.92,机械设备-通用设备-基础件,制造业-通用设备制造业,False,2010,10,11,机械设备,通用设备
'301205,联特科技,深圳交易所,创业板,20220913,65.83,信息技术-通信设备-通信传输设备,制造业-计算机、通信和其他电子设备制造业,False,2022,9,13,信息技术,通信设备
'301555,惠柏新材,深圳交易所,创业板,20231031,25.98,基础化工-合成纤维及树脂-合成树脂,制造业-化学原料和化学制品制造业,False,2023,10,31,基础化工,合成纤维及树脂
'002267,陕天然气,深圳交易所,主板,20080813,8.01,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业,False,2008,8,13,公用事业,燃气
'002043,兔 宝 宝,深圳交易所,主板,20050510,10.02,建材-其他建材-其他建材,制造业-木材加工和木、竹、藤、棕、草制品业,False,2005,5,10,建材,其他建材
'600814,杭州解百,上海交易所,主板,19940114,8.03,商贸零售-零售-百货,批发和零售业-零售业,False,1994,1,14,商贸零售,零售
'600377,宁沪高速,上海交易所,主板,20010116,16.09,交通运输-公路铁路-高速公路,交通运输、仓储和邮政业-道路运输业,False,2001,1,16,交通运输,公路铁路
'301552,科力装备,深圳交易所,创业板,20240722,38.22,交运设备-汽车-汽车零部件,制造业-汽车制造业,False,2024,7,22,交运设备,汽车
'301500,飞南资源,深圳交易所,创业板,20230921,20.19,公用事业-环保-环保,制造业-废弃资源综合利用业,False,2023,9,21,公用事业,环保
'002385,大北农,深圳交易所,主板,20100409,4.04,农林牧渔-畜牧业-饲料,制造业-农副食品加工业,False,2010,4,9,农林牧渔,畜牧业
'000900,现代投资,深圳交易所,主板,19990128,4.04,交通运输-公路铁路-高速公路,交通运输、仓储和邮政业-道路运输业,False,1999,1,28,交通运输,公路铁路
'002287,奇正藏药,深圳交易所,主板,20090828,24.28,医药生物-中药生产-中药生产,制造业-医药制造业,False,2009,8,28,医药生物,中药生产
'603191,望变电气,上海交易所,主板,20220428,12.19,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业,False,2022,4,28,电气设备,输变电设备
'300501,海顺新材,深圳交易所,创业板,20160204,14.23,轻工制造-造纸印刷-包装印刷,制造业-医药制造业,False,2016,2,4,轻工制造,造纸印刷
'600918,中泰证券,上海交易所,主板,20200603,6.1,金融-非银行金融-证券,金融业-资本市场服务,False,2020,6,3,金融,非银行金融
'600235,民丰特纸,上海交易所,主板,20000615,6.1,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业,False,2000,6,15,轻工制造,造纸印刷
'600999,招商证券,上海交易所,主板,20091117,16.28,金融-非银行金融-证券,金融业-资本市场服务,False,2009,11,17,金融,非银行金融
'002116,中国海诚,深圳交易所,主板,20070215,10.19,建筑-基础建设-其他基础建设,建筑业-土木工程建筑业,False,2007,2,15,建筑,基础建设
'601677,明泰铝业,上海交易所,主板,20110919,12.24,有色金属-基本金属-铝,制造业-有色金属冶炼和压延加工业,False,2011,9,19,有色金属,基本金属
'600968,海油发展,上海交易所,主板,20190626,4.08,化石能源-石油天然气-石油天然气开采,采矿业-开采专业及辅助性活动,False,2019,6,26,化石能源,石油天然气
'002254,泰和新材,深圳交易所,主板,20080625,10.2,基础化工-合成纤维及树脂-氨纶,制造业-化学纤维制造业,False,2008,6,25,基础化工,合成纤维及树脂
'000983,山西焦煤,深圳交易所,主板,20000726,6.12,化石能源-煤炭-煤炭开采洗选,采矿业-煤炭开采和洗选业,False,2000,7,26,化石能源,煤炭
'300880,迦南智能,深圳交易所,创业板,20200901,20.45,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业,False,2020,9,1,机械设备,通用设备
'301327,华宝新能,深圳交易所,创业板,20220919,69.67,电子设备-电子器件-其他电子器件,制造业-电气机械和器材制造业,False,2022,9,19,电子设备,电子器件
'000055,方大集团,深圳交易所,主板,19960415,4.1,建材-其他建材-其他建材,制造业-金属制品业,False,1996,4,15,建材,其他建材
'603926,XD铁流股,上海交易所,主板,20170510,12.32,交运设备-汽车-汽车零部件,制造业-汽车制造业,False,2017,5,10,交运设备,汽车
'600828,茂业商业,上海交易所,主板,19940224,4.11,商贸零售-零售-百货,批发和零售业-零售业,False,1994,2,24,商贸零售,零售
'001965,招商公路,深圳交易所,主板,20171225,12.35,交通运输-公路铁路-高速公路,交通运输、仓储和邮政业-道路运输业,False,2017,12,25,交通运输,公路铁路
'601166,兴业银行,上海交易所,主板,20070205,22.65,金融-银行-股份制与城商行,金融业-货币金融服务,False,2007,2,5,金融,银行
'600292,远达环保,上海交易所,主板,20001101,12.36,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业,False,2000,11,1,公用事业,环保
'002004,华邦健康,深圳交易所,主板,20040625,4.12,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业,False,2004,6,25,基础化工,化肥农药
'600977,中国电影,上海交易所,主板,20160809,10.34,文化传媒-影视动漫-影视,文化、体育和娱乐业-广播、电视、电影和录音制作业,False,2016,8,9,文化传媒,影视动漫
'603117,万林物流,上海交易所,主板,20150629,6.21,交通运输-物流-物流,交通运输、仓储和邮政业-水上运输业,False,2015,6,29,交通运输,物流
'002765,蓝黛科技,深圳交易所,主板,20150612,14.5,电子设备-电子元件-电子元件,制造业-汽车制造业,False,2015,6,12,电子设备,电子元件
'600593,大连圣亚,上海交易所,主板,20020711,29.03,休闲、生活及专业服务-休闲服务-景区,水利、环境和公共设施管理业-公共设施管理业,False,2002,7,11,休闲、生活及专业服务,休闲服务
'300366,创意信息,深圳交易所,创业板,20140127,8.34,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2014,1,27,信息技术,计算机软件
'600313,农发种业,上海交易所,主板,20010119,6.27,农林牧渔-农业-种子,批发和零售业-批发业,False,2001,1,19,农林牧渔,农业
'300658,延江股份,深圳交易所,创业板,20170602,6.27,纺织服装-纺织-其他纺织,制造业-纺织业,False,2017,6,2,纺织服装,纺织
'603689,皖天然气,上海交易所,主板,20170110,8.38,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业,False,2017,1,10,公用事业,燃气
'603661,恒林股份,上海交易所,主板,20171121,27.24,轻工制造-家具-家具制造,制造业-家具制造业,False,2017,11,21,轻工制造,家具
'300416,苏试试验,深圳交易所,创业板,20150122,14.69,休闲、生活及专业服务-专业服务-调查与咨询服务,科学研究和技术服务业-专业技术服务业,False,2015,1,22,休闲、生活及专业服务,专业服务
'603378,亚士创能,上海交易所,主板,20170928,6.3,基础化工-化学制品-涂料涂漆,制造业-化学原料和化学制品制造业,False,2017,9,28,基础化工,化学制品
'600136,ST明诚,上海交易所,主板,19980303,2.1,文化传媒-影视动漫-影视,文化、体育和娱乐业-广播、电视、电影和录音制作业,False,1998,3,3,文化传媒,影视动漫
'300338,*ST开元,深圳交易所,创业板,20120726,4.2,文化传媒-教育-在线教育,教育-教育,False,2012,7,26,文化传媒,教育
'688700,东威科技,上海交易所,科创板,20210615,33.64,机械设备-专用设备-其他专用机械,制造业-专用设备制造业,False,2021,6,15,机械设备,专用设备
'600075,新疆天业,上海交易所,主板,19970617,4.21,基础化工-化学原料-氯碱,制造业-化学原料和化学制品制造业,False,1997,6,17,基础化工,化学原料
'688256,寒武纪-U,上海交易所,科创板,20200720,612.9,电子设备-电子设备制造-电子设备制造,信息传输、软件和信息技术服务业-软件和信息技术服务业,False,2020,7,20,电子设备,电子设备制造
'600329,达仁堂,上海交易所,主板,20010606,33.78,医药生物-中药生产-中药生产,制造业-医药制造业,False,2001,6,6,医药生物,中药生产
'000518,*ST四环,深圳交易所,主板,19930908,2.12,医药生物-生物医药-生物医药,制造业-医药制造业,False,1993,9,8,医药生物,生物医药
